problem,source,category,answer,solution
"کدام عدد با بقیه فرق دارد؟ 3647, 2536, 5869, 6957, 1425, 4758",sampad7,Sequence,6957,تمام اعداد موجود دارای 2 رقم زوج و 2 رقم فرد هستند بجز 6957 که 3 رقم فرد و 1 رقم زوج دارد
در 24 شهریور، سینا میگوید تاریخ تولد من دقیقا دو هفته ی دیگر است. تولد سینا چه روزی است؟,sampad7,Algebra,7 مهر,24 شهریور درنظر گرفته نمیشود و شهریور 31 روز دارد
مهسا درختی کاشته که هر سال ارتفاعش دو برابر میشود. شش سال از کاشت این درخت میگذرد، اکنون ارتفاع آن 36 متر است. چند سال طول کشیده تا این درخت به نصف این ارتفاع برسد؟,sampad7,Sequence,5 سال,هر سال دو برابر میشود
"در دنباله اعداد داده شده، بجای علامت سوال، مقدار بعدی را بدست آورید: 1,4,10,22,46,94",sampad7,Sequence,190,94+96=190
"کدام عدد با بقیه متفاوت است؟ 183,243,261",sampad7,Sequence,183,در سایر گزینه ها، مجموع ارقام ۹ میباشد
مریم یک شیشه حاوی عطر مورد نظر را 10000 تومان خریداری کرده است. اگر قیمت عطر او 9000 تومان بیشتر از قیمت ظرف شیشه ای باشد، قیمت ظرف شیشه ای چند تومان است؟,sampad7,Algebra,500 تومان,
چهار دایره با اندازه های متفاوت یکدیگر را در حداکثر چند نقطه قطع میکنند؟ 6 یا 10 یا 12 یا 14؟,sampad7,Geometry,12 نقطه,
مهسا یک سبد سیب داشت. 75 درصد  آنرا به ناهید و 0.625 از سیب های باقی مانده را به سارا داد. سپس 1 سیب از آنرا نیز خودش خورد و در نهایت 2 سیب برای خودش باقی ماند. سبد او در ابتدا چند سیب داشته است؟,sampad7,Algebra,32 سیب,
در کیسه ای، 5 مهره ی زرد، 1 مهره ی سیاه و 3 مهره ی قرمز وجود دارد. بدون نکاه کردن به کیسه، حداقل چند مهره را باید خارج کنیم تا مهره ای قرمز در بین آنها باشد؟,sampad7,Counting_and_Probability,7 مهره,ابتدا تمام مهره های سیاه و زرد باید خارج شوند.
"در دنباله [35, 42, 7, 12, 3, 6, 3, ?] بجای ? چه عددی باید قرار بگیرد؟",sampad7,Sequence,4,
