solution,bot_solution,evaluation
6957,عدد 1425 با بقیه اعداد فرق دارد.,{'accuracy': 0.0}
7 مهر,تاریخ تولد سینا یکشنبه است.,{'accuracy': 0.0}
5 سال,حدوداً 3.17 سال طول میکشد تا این درخت به نصف ارتفاع خود برسد.,{'accuracy': 0.0}
190,عدد بعدی در دنباله برابر با 2 * 94 + 1 = 189 است.,{'accuracy': 0.0}
183,عدد 183 با بقیه متفاوت است.,{'accuracy': 1.0}
500 تومان,قیمت ظرف شیشه ای 1000 تومان است.,{'accuracy': 0.0}
12 نقطه,تعداد نقاط قطع ممکن بین چهار دایره برابر است با 4.,{'accuracy': 0.0}
32 سیب,تعداد سیب‌های در ابتدا = 8,{'accuracy': 0.0}
7 مهره,حداقل 9 مهره را باید خارج کنیم تا حداقل یک مهره قرمز در بین آنها باشد.,{'accuracy': 0.0}
4,عدد بعدی در دنباله برابر با 9 است.,{'accuracy': 0.0}
14 نفر,تعداد افراد حاضر در مهمانی برابر است با 13 نفر.,{'accuracy': 0.0}
سال 1374,خانم در سال ازدواج کرده است.,{'accuracy': 0.0}
35 میلیمتر,کمترین میزانی که باید از مجموع پایه ها کوتاه شود تا هم اندازه شوند، 63.5 میلیمتر است.,{'accuracy': 0.0}
12 ساعت,ساعت کار روزانه کارگر برابر با 1.44 ساعت است.,{'accuracy': 0.0}
8 مثلث,"تعداد مثلث های کوچک: 1
تعداد مثلث های بزرگ: 1",{'accuracy': 0.0}
1000,پنج درصد از 2000 برابر است با 100.,{'accuracy': 0.0}
9:25,ساعت واقعی 7:25 است.,{'accuracy': 0.0}
10,عدد 10 میتواند جایگزین X در معادله روبرو شود.,{'accuracy': 1.0}
1,حاصل عبارت داده شده برابر با 1 است.,{'accuracy': 1.0}
63,,{'accuracy': 0.0}
149.2,خانم کوثری باید مبلغ 149.20 تومان را بپردازد.,{'accuracy': 0.0}
4 مرتبه,عدد 2 پس از عدد 3 در دنباله,{'accuracy': 0.0}
2.5 دقیقه,قطار برای عبور از تونل 9 دقیقه طول میکشد.,{'accuracy': 0.0}
43,چهارمین عدد این زنجیره برابر با 19 است.,{'accuracy': 0.0}
60 دانش آموز,"تعداد دانش آموزان کلاس ""الف"" در ابتدا برابر با x = 45 نفر بوده است.",{'accuracy': 0.0}
13,عدد بعدی در دنباله برابر با 97 است.,{'accuracy': 0.0}
16,عدد بعدی در دنباله برابر است با 16.,{'accuracy': 1.0}
27,عددی که باید به جای (?) قرار بگیرد، برابر با 3 است.,{'accuracy': 0.0}
55,عدد بعدی در دنباله برابر با 55 است.,{'accuracy': 1.0}
18,عدد بعدی در دنباله برابر با 144 است.,{'accuracy': 0.0}
