prompt,response,predicted_labels,actual_labels
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<این نمی‌تواند توجیه خوبی باشد که چون این خودرو شاسی‌بلند است پس وزن بالا نیز طبیعی است. بسیاری از خودروهای شاسی بلند در مقایسه با این خودرو وزن بسیار کمتری دارند و سریع‌تر و کارامدتر هستند.><sep><یکی از ایرادات این خودرو وزن بالای آن است.>
<category>:
    ?",contradiction,contradiction,entailment
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<در این واکنش سرعت هالوژن‌دار شدن مستقل از غلظت هالوژن است ولی به غلظت کتون و اسید بستگی دارد.><sep><در این واکنش سرعت هالوژن‌دار شدن وابسته به غلظت هالوژن است ولی مستقل از  غلظت کتون و اسید است.>
<category>:
    ?",entailment,entailment,contradiction
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
< بنابراین افرادی که در هوای گرم فعالیت های سنگین دارند، در معرض حمله قلبی قرار می گیرند.><sep><بنا به یافته های اخیر، افزایش دما تاثیری در سلامت کارگران ندارد>
<category>:
    ?",neutral,neutral,contradiction
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<در شرایط دیگر ، ما متذکر شدیم که یک برنامه فاقد روشی مؤثر برای نظارت بر رشد حرفه ای کارمندان جدید و بی تجربه است.><sep><۹ موقعیت وجود داشته که ما به آنها اشاره کردیم.>
<category>:
    ?",neutral,neutral,neutral
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<تلویزیون مهمترین وسیله برای انتقال تاریخ است.><sep><تلویزیون مهمترین وسیله برای نمایش تاریخ است.>
<category>:
    ?",entailment,entailment,entailment
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<نفت و زغال و دیگر معادن سرانجام روزی تمام خواهد شد، ولی جنگلی که خوب نگهداری شود (حتی گاه بدون نگهداری) به‌طور نامحدود به تولید چوب ادامه خواهد داد.><sep><چوب بر خلاف نفت و زغال از جمله منابع طبیعی تجدیدپذیر است.>
<category>:
    ?",entailment,entailment,entailment
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<سپس در دانشسرای عالی به پژوهش در زمینه هندسه دیفرانسیل پرداخت و مدرک دکترای خود را در رشته ریاضیات در سال ۱۳۱۶ دریافت کرد و در همان دانشگاه مشغول به تدریس شد.><sep><پس از اتمام تحصیل به عنوان استادیار در دانشکده علوم دانشسرای عالی به کار مشغول شد.>
<category>:
    ?",entailment,entailment,entailment
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<این کار اوست.><sep><این کار اوست که نگران شما باشد.>
<category>:
    ?",neutral,neutral,neutral
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<ارتباط با ما خانه » ارتباط با ما ارتباط با ما پایگاه خبری “جامع خبر” با هدف انتشار اخبار عمومی کشور بدون گرایش‌های مختلف سیاسی و با نگاهی حرفه‌ای به مقوله خبر اقتصادی واجتماعی توسط جمعی از خبرنگاران باسابقه کشور، فعالیت می‌کند.><sep><روابط بین ایران و آمریکا پس از انقلاب قطع شده است.>
<category>:
    ?",neutral,neutral,neutral
"Natural Language Inference: Read the following premise and hypothesis carefully and determine the relationship between them.
Choose one of the three categories below that best describes their relationship:

- entailment: The meaning of the hypothesis is logically inferred or derived from the premise.
- contradiction: The meaning of the hypothesis contradicts or conflicts with the premise.
- neutral: There is no clear logical relationship between the premise and hypothesis.

Note: The premise and hypothesis are in Persian.

examples:
<premise><sep><hypothesis>
<category>:
    entailment or contradiction or neutral

<در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.><sep><آنها ازین مبارزه جان سالم بدر می برند.>
<category>:
    contradiction

<دوستم اینگونه راضیم کرد که من از ارتفاعات فقط وقتی می‌ترسم که به آن فکر می‌کنم ولی وقتی آن بالا می‌رسم برطرف می‌شود.><sep><من از ارتفاعات می‌ترسیدم ولی دوستم مرا قانع کرد.>
<category>:
    entailment

<""یوتی‌ایر اوییشن""، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.><sep><این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. >
<category>:
    neutral



Please select the appropriate category for the given example:
<جسی هلمز مخالف اعطای وضعیت دائمی MFN به چین است و آن را پاداش رفتار بد می نامد.><sep><چین وضعیت MFN دائمی دارد.>
<category>:
    ?",entailment,entailment,contradiction
