solution,bot_solution,evaluation
6957,1425,{'accuracy': 0.0}
7 مهر,8 مهر,{'accuracy': 0.0}
5 سال,4.5,{'accuracy': 0.0}
190,189,{'accuracy': 0.0}
183,183,{'accuracy': 1.0}
500 تومان,1000 تومان,{'accuracy': 0.0}
12 نقطه,6,{'accuracy': 0.0}
32 سیب,8,{'accuracy': 0.0}
7 مهره,2,{'accuracy': 0.0}
4,9,{'accuracy': 0.0}
14 نفر,24,{'accuracy': 0.0}
سال 1374,677,{'accuracy': 0.0}
35 میلیمتر,3.5,{'accuracy': 0.0}
12 ساعت,12 ساعت,{'accuracy': 1.0}
8 مثلث,8,{'accuracy': 1.0}
1000,100,{'accuracy': 0.0}
9:25,8:25,{'accuracy': 0.0}
10,10,{'accuracy': 1.0}
1,1,{'accuracy': 1.0}
63,61.74,{'accuracy': 0.0}
149.2,149.20 تومان,{'accuracy': 0.0}
4 مرتبه,3,{'accuracy': 0.0}
2.5 دقیقه,,{'accuracy': 0.0}
43,19,{'accuracy': 0.0}
60 دانش آموز,60,{'accuracy': 1.0}
13,1,{'accuracy': 0.0}
16,16,{'accuracy': 1.0}
27,69,{'accuracy': 0.0}
55,55,{'accuracy': 1.0}
18,36,{'accuracy': 0.0}
16,64,{'accuracy': 0.0}
44,4,{'accuracy': 0.0}
25,3125,{'accuracy': 0.0}
1,1,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
1,1,{'accuracy': 1.0}
3,3,{'accuracy': 1.0}
4,-4,{'accuracy': 1.0}
9,9,{'accuracy': 1.0}
3,-3,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
3,1,{'accuracy': 0.0}
3,4 و 2,{'accuracy': 0.0}
7,2,{'accuracy': 0.0}
5,1,{'accuracy': 0.0}
2,1 و 3,{'accuracy': 0.0}
2,2,{'accuracy': 1.0}
8,1,{'accuracy': 0.0}
1,1,{'accuracy': 1.0}
1,4,{'accuracy': 0.0}
2,2,{'accuracy': 1.0}
9,2,{'accuracy': 0.0}
2 مثلث,4,{'accuracy': 0.0}
3 تا,,{'accuracy': 0.0}
4 واحد,پاسخ نهایی بستگی به مقادیر a، b، c، d، e و f دارد و باید با استفاده از محاسبات فوق مقدار مساحت را محاسبه کنید.,{'accuracy': 0.0}
36 کاغذ,16,{'accuracy': 0.0}
2,بی‌نهایت (∞),{'accuracy': 0.0}
6,تعداد مکعب‌های مستطیلی متفاوت با حجم 30 سانتی متر مکعب بسته به ترکیبات مختلف طول، عرض و ارتفاع متفاوت است.,{'accuracy': 0.0}
14,7,{'accuracy': 0.0}
7,84,{'accuracy': 0.0}
13/18,9/2,{'accuracy': 0.0}
28,12,{'accuracy': 0.0}
4,30,{'accuracy': 0.0}
5,0,{'accuracy': 0.0}
15,27,{'accuracy': 0.0}
68,68,{'accuracy': 1.0}
8,8,{'accuracy': 1.0}
32,-32,{'accuracy': 1.0}
0.38,28.48,{'accuracy': 0.0}
333,111,{'accuracy': 0.0}
4:30,ساعت 4:30 بعد از ظهر,{'accuracy': 1.0}
20%,20%,{'accuracy': 1.0}
7,7,{'accuracy': 1.0}
4,12,{'accuracy': 0.0}
23,2,{'accuracy': 0.0}
5999,8000,{'accuracy': 0.0}
6,3,{'accuracy': 0.0}
0.5,0.3,{'accuracy': 0.0}
10 درصد,40%,{'accuracy': 0.0}
13 اینچ مربع,13 اینچ مربع,{'accuracy': 1.0}
3,6,{'accuracy': 0.0}
36,9,{'accuracy': 0.0}
6,6,{'accuracy': 1.0}
42,۴۲ اینچ,{'accuracy': 0.0}
4,۲,{'accuracy': 0.0}
564,564,{'accuracy': 1.0}
162,89,{'accuracy': 0.0}
66,66,{'accuracy': 1.0}
6,6,{'accuracy': 1.0}
5040,210,{'accuracy': 0.0}
5,20,{'accuracy': 0.0}
8,2,{'accuracy': 0.0}
10,10,{'accuracy': 1.0}
4005,4005,{'accuracy': 1.0}
1023,1023,{'accuracy': 1.0}
10,امی از بتی 10 سیب بیشتر دارد.,{'accuracy': 1.0}
400,400,{'accuracy': 1.0}
123,123,{'accuracy': 1.0}
0.17,0.17,{'accuracy': 1.0}
350,350,{'accuracy': 1.0}
600,680,{'accuracy': 0.0}
8,8,{'accuracy': 1.0}
8,34,{'accuracy': 0.0}
2,2,{'accuracy': 1.0}
1,بزرگترین مقدار ممکن برای میانگین حسابی اعداد کیتی، برابر با A,{'accuracy': 0.0}
30,30,{'accuracy': 1.0}
18,6,{'accuracy': 0.0}
54,54,{'accuracy': 1.0}
24,8,{'accuracy': 0.0}
36,36,{'accuracy': 1.0}
6,8,{'accuracy': 0.0}
100,5 * زاویه کوچکتر,{'accuracy': 0.0}
0.54,مساحت سطح مکعب برابر است با ... (مقدار محاسبه شده) متر مربع.,{'accuracy': 0.0}
21,21,{'accuracy': 1.0}
70,80,{'accuracy': 0.0}
144,144,{'accuracy': 1.0}
3,,{'accuracy': 0.0}
126,27,{'accuracy': 0.0}
3,3,{'accuracy': 1.0}
8000,"115,762.35",{'accuracy': 0.0}
8918,8918,{'accuracy': 1.0}
3600,1800 متر مکعب,{'accuracy': 0.0}
4,4,{'accuracy': 1.0}
140,40,{'accuracy': 0.0}
3,3,{'accuracy': 1.0}
120,60,{'accuracy': 0.0}
15,15,{'accuracy': 1.0}
31,32,{'accuracy': 0.0}
3,,{'accuracy': 0.0}
40,35 سانتی متر,{'accuracy': 0.0}
12,12,{'accuracy': 1.0}
28,7,{'accuracy': 0.0}
864000,"17,576,000",{'accuracy': 0.0}
1/4,3/2,{'accuracy': 0.0}
12,4,{'accuracy': 0.0}
380,100,{'accuracy': 0.0}
7,8,{'accuracy': 0.0}
14400,,{'accuracy': 0.0}
1000000,"1,000,000",{'accuracy': 0.0}
70,1,{'accuracy': 0.0}
31,1,{'accuracy': 0.0}
120,180,{'accuracy': 0.0}
5,9,{'accuracy': 0.0}
5,24,{'accuracy': 0.0}
17/18,7/12,{'accuracy': 0.0}
1/20,1/4,{'accuracy': 0.0}
0.5,0.5,{'accuracy': 1.0}
11/36,1/12,{'accuracy': 0.0}
37/819,حدوداً 0.044,{'accuracy': 0.0}
243,243,{'accuracy': 1.0}
28,28,{'accuracy': 1.0}
45,11,{'accuracy': 0.0}
1963,"تعداد عدد صحیح مثبت کوچکتر از 2008 که تعداد زوجی از مقسوم علیه ها را دارند، برابر است با تعداد اعدادی که تعداد مقسوم علیه های آنها زوج است. برای محاسبه این تعداد، باید تمام اعداد صحیح مثبت کوچکتر از 2008 را بررسی کنیم و ببینیم کدام اعداد تعداد زوجی از مقسوم علیه ها را دارند.

با استفاده از روش بالا، میتوانیم تعداد اعداد صحیح مثبت کوچکتر از 2008 که تعداد زوجی از مقسوم علیه ها را دارند را محاسبه کنیم.",{'accuracy': 0.0}
6720,"40,320",{'accuracy': 0.0}
6,0.0322 یا 3.22%,{'accuracy': 0.0}
3,"تعداد عدد های صحیح دقیق درونه‌ی مربعی: 3
عدد های صحیح دقیق درونه‌ی مربعی:",{'accuracy': 1.0}
110,10*11,{'accuracy': 0.0}
48,(3^5) / (2^3),{'accuracy': 0.0}
1,15/16,{'accuracy': 0.0}
243,243,{'accuracy': 1.0}
36,24,{'accuracy': 0.0}
4,5,{'accuracy': 0.0}
1/4,1/6,{'accuracy': 0.0}
1275,مقدار عدد مثلثی پنجاهم برابر است با نتیجه عبارت (50 * 49 * 48 * ... * 26) / (25 * 24 * ... * 2 * 1),{'accuracy': 0.0}
8.5,11,{'accuracy': 0.0}
11/850,0.0137 یا 1.37٪,{'accuracy': 0.0}
280,280,{'accuracy': 1.0}
12/25,0.0625 یا 6.25 درصد,{'accuracy': 0.0}
58500,"67,600",{'accuracy': 0.0}
1,1,{'accuracy': 1.0}
16,13,{'accuracy': 0.0}
12,12,{'accuracy': 1.0}
7,,{'accuracy': 0.0}
5,5,{'accuracy': 1.0}
18,16,{'accuracy': 0.0}
