solution,bot_solution,evaluation
6957,1425,{'accuracy': 0.0}
7 مهر,تولد سینا در تاریخ ۸ مهر است.,{'accuracy': 0.0}
5 سال,۱۲,{'accuracy': 0.0}
190,142,{'accuracy': 0.0}
183,۲۶۱,{'accuracy': 0.0}
500 تومان,19000,{'accuracy': 0.0}
12 نقطه,6,{'accuracy': 0.0}
32 سیب,حدوداً 19 سیب,{'accuracy': 0.0}
7 مهره,حداقل 3 مهره,{'accuracy': 0.0}
4,7.5,{'accuracy': 0.0}
14 نفر,52,{'accuracy': 0.0}
سال 1374,1395,{'accuracy': 0.0}
35 میلیمتر,0.125,{'accuracy': 0.0}
12 ساعت,309,{'accuracy': 0.0}
8 مثلث,۵,{'accuracy': 0.0}
1000,۱۰۰,{'accuracy': 0.0}
9:25,۱۲:۰۵,{'accuracy': 0.0}
10,10,{'accuracy': 1.0}
1,1,{'accuracy': 1.0}
63,61.74,{'accuracy': 0.0}
149.2,149.20,{'accuracy': 0.0}
4 مرتبه,3,{'accuracy': 0.0}
2.5 دقیقه,0.167 دقیقه,{'accuracy': 0.0}
43,19,{'accuracy': 0.0}
60 دانش آموز,60,{'accuracy': 1.0}
13,13,{'accuracy': 1.0}
16,16,{'accuracy': 1.0}
27,-69,{'accuracy': 0.0}
55,55,{'accuracy': 1.0}
18,108,{'accuracy': 0.0}
16,128,{'accuracy': 0.0}
44,44,{'accuracy': 1.0}
25,3125,{'accuracy': 0.0}
1,1,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
1,1,{'accuracy': 1.0}
3,3,{'accuracy': 1.0}
4,4,{'accuracy': 1.0}
9,9,{'accuracy': 1.0}
3,3,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
3,4,{'accuracy': 0.0}
3,2 یا 4,{'accuracy': 0.0}
7,2 یا 6,{'accuracy': 0.0}
5,1,{'accuracy': 0.0}
2,1,{'accuracy': 0.0}
2,2,{'accuracy': 1.0}
8,8,{'accuracy': 1.0}
1,1,{'accuracy': 1.0}
1,1 یا 3,{'accuracy': 0.0}
2,2 یا 3,{'accuracy': 0.0}
9,2,{'accuracy': 0.0}
2 مثلث,4,{'accuracy': 0.0}
3 تا,1,{'accuracy': 0.0}
4 واحد,"مساحت مثلث A'B'C' = (1/2) * ((2d-2b)/(a-c)) * (((2ad-2bc)/(a-c)) - ((2af-2be)/(a-e)))
مساحت مثلث A'B'C' = (1/2) * ((2d-2b)/(a-c)) * (((2ad-2bc)(a-e) - (2af-2be)(a-c)) / ((a-c)(a-e)))
مساحت مثلث A'B'C' = (ad-bc)(2d-2b)(a-e) - (af-be)(2d-2b)(a-c)) / (2(a-c)(a-e))
</answer]",{'accuracy': 0.0}
36 کاغذ,16,{'accuracy': 0.0}
2,16,{'accuracy': 0.0}
6,4,{'accuracy': 0.0}
14,49,{'accuracy': 0.0}
7,مجموع امتیازات تیم‌ها می‌تواند چند عدد مختلف باشد.,{'accuracy': 0.0}
13/18,4,{'accuracy': 0.0}
28,نسیم حداکثر به 13 پرسش در آزمون پاسخ داده است.,{'accuracy': 0.0}
4,تعداد کل پیش‌آمدها برابر با ۳۲ است.,{'accuracy': 0.0}
5,مریم حداقل 24 عدد را باید حذف کند تا شرایط مسئله برقرار شود.,{'accuracy': 0.0}
15,بکا می‌تواند به 15 عدد متمایز با استفاده از ارقام 2، 3 و 5 برسد.,{'accuracy': 0.0}
68,عدد صحیح مورد نظر برابر با 68 است.,{'accuracy': 1.0}
8,فاصله واقعی بین دو شهر 8 کیلومتر است.,{'accuracy': 1.0}
32,مقدار عبارت (4+12) - (4×12) برابر با -32 است.,{'accuracy': 0.0}
0.38,میانگین مصرف هفتگی شیرینی برای امریکایی‌ها حدود 0.376 پوند است (با دقت دو رقم اعشاری).,{'accuracy': 0.0}
333,کوچکترین عدد سه‌رقمی به فرم \( aaa \) که بر ۹ بخش‌پذیر است، برابر با \( 333 \) است.,{'accuracy': 0.0}
4:30,مقصد در ساعت 3:30 بعد از ظهر خواهد بود.,{'accuracy': 0.0}
20%,جوراب‌های جینا 20 درصد قرمز هستند.,{'accuracy': 1.0}
7,7,{'accuracy': 1.0}
4,2,{'accuracy': 0.0}
23,8,{'accuracy': 0.0}
5999,5999,{'accuracy': 1.0}
6,2,{'accuracy': 0.0}
0.5,0.001111...,{'accuracy': 0.0}
10 درصد,110٪,{'accuracy': 0.0}
13 اینچ مربع,28.5 اینچ مربع,{'accuracy': 0.0}
3,2400 اینچ,{'accuracy': 0.0}
36,حدود 37.68 اینچ مربع,{'accuracy': 0.0}
6,7,{'accuracy': 0.0}
42,63,{'accuracy': 0.0}
4,"2

</answer]",{'accuracy': 0.0}
564,564,{'accuracy': 1.0}
162,729,{'accuracy': 0.0}
66,60,{'accuracy': 0.0}
6,6,{'accuracy': 1.0}
5040,5040,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
8,18,{'accuracy': 0.0}
10,10,{'accuracy': 1.0}
