solution,bot_solution,evaluation
6957,عددی که با بقیه‌ی اعداد فرق دارد، عدد 3647 است.,{'accuracy': 0.0}
7 مهر,تاریخ تولد سینا 26 شهریور است.,{'accuracy': 0.0}
5 سال,درخت به نصف ارتفاع فعلی خود ۶ سال طول کشیده است.,{'accuracy': 0.0}
190,عدد بعدی در دنباله برابر با 189 است.,{'accuracy': 0.0}
183,هیچ کدام از اعداد 183، 243 و 261 با بقیه‌ی اعداد متفاوت نیستند.,{'accuracy': 0.0}
500 تومان,قیمت ظرف شیشه‌ای که عطر در آن است، 1000 تومان است.,{'accuracy': 0.0}
12 نقطه,چهار دایره با اندازه‌های متفاوت یکدیگر در حداکثر 6 نقطه با یکدیگر قطع می‌شوند.,{'accuracy': 0.0}
32 سیب,پس مهسا در ابتدا 2 سیب داشته است.,{'accuracy': 0.0}
7 مهره,پاسخ: حداقل 3 مهره را باید از کیسه خارج کنیم تا حداقل یک مهره قرمز در بین آنها باشد.,{'accuracy': 0.0}
4,پاسخ: عدد باید جایگزین علامت سوال در دنباله باشد، یعنی عدد 9.,{'accuracy': 0.0}
14 نفر,پاسخ: تعداد نفرات در این مهمانی برابر با 12 نفر است.,{'accuracy': 0.0}
سال 1374,پاسخ: این خانم در سال 1391 ازدواج کرده است.,{'accuracy': 0.0}
35 میلیمتر,پاسخ: برای هم اندازه کردن پایه های میز، باید حداقل 2 میلیمتر از مجموع طول پایه ها کوتاه شود.,{'accuracy': 0.0}
12 ساعت,,{'accuracy': 0.0}
8 مثلث,تعداد مثلث‌های کوچک و بزرگ تشکیل شده با رسم دو قطر مربع برابر است با 12 مثلث.,{'accuracy': 0.0}
1000,پنج درصد از 2000 معادل 100 است.,{'accuracy': 0.0}
9:25,ساعت واقعی به صورت 2:35 است.,{'accuracy': 0.0}
10,عدد X می‌تواند جایگزین 100 در معادله باشد.,{'accuracy': 0.0}
1,حاصل عبارت داده شده برابر با 1 است.,{'accuracy': 1.0}
63,مساحت فضای باقی مانده بعد از حفره کردن دایره‌ای با شعاع 3 سانتیمتر در وسط مربع برابر با تقریباً 61.74 سانتیمتر مربع است.,{'accuracy': 0.0}
149.2,خانم کوثری باید مبلغ 149.20 تومان را بپردازد.,{'accuracy': 0.0}
4 مرتبه,عدد 2، 6 بار پس از عدد 3 در دنباله آمده است.,{'accuracy': 0.0}
2.5 دقیقه,مدت زمان لازم برای عبور کامل قطار از تونل حدود 2.5 دقیقه است.,{'accuracy': 1.0}
43,چهارمین عدد زنجیره‌ی عددی برابر با 31 است.,{'accuracy': 0.0}
60 دانش آموز,"تعداد دانش آموزان کلاس ""الف"" در ابتدا 60 نفر بوده است.",{'accuracy': 1.0}
13,عدد ناقص در دنباله ی,{'accuracy': 0.0}
16,عدد ناقص در دنباله ی,{'accuracy': 0.0}
27,عدد ناقص در دنباله ی,{'accuracy': 0.0}
55,عدد ناقص در دنباله ی,{'accuracy': 0.0}
18,عدد ناقص در دنباله ی,{'accuracy': 0.0}
16,عدد ناقص در دنباله ی,{'accuracy': 0.0}
44,عدد ناقص در دنباله ی,{'accuracy': 0.0}
25,عدد ناقص در دنباله ی,{'accuracy': 0.0}
1,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 7 است. سپس اختلاف این تفاضل با مقدار کوچک‌تر دو عدد دیگر برابر با 5 است.,{'accuracy': 0.0}
2,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 4 است. سپس اختلاف این تفاضل با مقدار کوچک‌تر دو عدد دیگر برابر با -2 است.,{'accuracy': 0.0}
5,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 8 است. سپس اختلاف این تفاضل با مقدار کوچک‌تر دو عدد دیگر برابر با 5 است.,{'accuracy': 0.0}
2,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 7 است. سپس اختلاف این تفاضل با مقدار بزرگ‌تر دو عدد دیگر برابر با 2 است.,{'accuracy': 0.0}
1,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 6 است. سپس اختلاف این تفاضل با مقدار بزرگ‌تر دو عدد دیگر برابر با 1 است.,{'accuracy': 0.0}
3,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 3 است. سپس اختلاف این تفاضل با مقدار بزرگ‌تر دو عدد دیگر برابر با -3 است.,{'accuracy': 0.0}
4,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 6 است. سپس اختلاف این تفاضل با کوچک‌ترین عدد مجموعه برابر با 4 است.,{'accuracy': 0.0}
9,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 9 است. سپس اختلاف این تفاضل با کوچک‌ترین عدد مجموعه برابر با 9 است.,{'accuracy': 0.0}
3,ابتدا تفاصل کوچک‌ترین و بزرگ‌ترین عدد در دنباله برابر با 5 است. سپس اختلاف این تفاضل با کوچک‌ترین عدد مجموعه برابر با 3 است.,{'accuracy': 0.0}
2,ابتدا کوچک‌ترین و بزرگ‌ترین عدد را از دنباله حذف کرده، سپس اختلاف تفاضل دو عدد باقی‌مانده در مجموعه برابر با 2 است.,{'accuracy': 1.0}
5,ابتدا کوچک‌ترین و بزرگ‌ترین عدد را از دنباله حذف کرده، سپس اختلاف تفاضل دو عدد باقی‌مانده در مجموعه برابر با 5 است.,{'accuracy': 1.0}
3,ابتدا کوچک‌ترین و بزرگ‌ترین عدد را از دنباله حذف کرده، سپس اختلاف تفاضل دو عدد باقی‌مانده در مجموعه برابر با -3 است.,{'accuracy': 1.0}
3,,{'accuracy': 0.0}
7,,{'accuracy': 0.0}
