,Unnamed: 0,question,correct_ans,model_ans,model_ans_one_shot,model_ans_three_shot,model_ans_farsiprompt_zero,model_ans_farsiprompt_one,model_ans_farsiprompt_three,model_ans_post_process,model_ans_one_shot_post_process,model_ans_three_shot_post_process,model_ans_farsiprompt_zero_post_process,model_ans_farsiprompt_one_post_process,model_ans_farsiprompt_three_post_process
0,0,شعاع دایره نصف قطر دایره است. گزینه ها: ا)درست است. ب)غلط است.,ا,ب,ب,ب,ب) غلط است.,ب) غلط است.,ب,ب,ب,ب,ب,ب,ب
1,1,نصف عددی را با ۵ جمع کردیم حاصل ۱۲ شد . آن عدد کدام است؟ گزینه ها: ا)14 ب)9,ا,ب,ب,ب,ب) 9,ب) 9,ب) 9,ب,ب,ب,ب,ب,ب
2,2,مساحت مستطیلی ۲۰ سانتی متر مربع است. اندازهی ضلعها را طوری انتخاب کن که  محیط مستطیل ۱۸  باشد. گزینه ها: ا) عرض 4 و طول 5   ب) عرض 3 و طول 8,ا,ب,ب,ب,ب) عرض 3 و طول 8,`ب`,ب) عرض 3 و طول 8,ب,ب,ب,ب,ب,ب
3,3,مساحت مستطیلی ۲۰ سانتی متر مربع است. اندازهی ضلعها را طوری انتخاب کن که  محیط مستطیل 24  باشد. گزینه ها: ا) عرض 4 و طول 5 ب) عرض 2 و طول 10,ب,ب,ب,ب,ب) عرض 2 و طول 10,ب) عرض 2 و طول 10,ب,ب,ب,ب,ب,ب,ب
4,4,عدد 8 از 10 کوچکتر است. گزینه ها: ا)درست است  ب)غلط است.,ا,ب) غلط است,ب,ب,ب) غلط است,ب) غلط است,ب,ب,ب,ب,ب,ب,ب
5,5,برنامه عمو پورنگ ساعت ۱۷:۳۰ پخش می.شود این برنامه چه ساعتی در بعد از ظهر است؟ گزینه ها: ا) 7:30 ب)5:30,ب,ب) 5:30,ب,ب,ب) 5:30,ب) 5:30,ب) 5:30,ب,ب,ب,ب,ب,ب
6,6,باغچه ای به شکل مستطیل به طول ۹ و عرض ۶ می.باشد مساحت باغچه را به درست آورید. گزینه ها: ا) 15 ب) 54,ب,ب) 54,ب,ب,ب) 54,`ب`,ب) 54,ب,ب,ب,ب,ب,ب
7,7,در میان دو گزینه ی ا) 8 ضرب در 14 و ب) 11 ضرب در 11 کدام گزینه بزرگتر است؟,ب,ب,ا,ب,ب) 11 ضرب در 11,ا) 8 ضرب در 14,ب) 11 ضرب در 11,ب,ب,ب,ب,ب,ب
8,8, یک دستگاه جوراب بافی در هر ساعت ۲۵ جفت جوراب میبافد. این دستگاه در ۲۰ ساعت چند جفت جوراب می بافد؟ گزینه ها: ا)500 ب) 400,ا,ب) 400,ا,ب,ب) 400,ب) 400,ب) 400,ب,ب,ب,ب,ب,ب
9,9,عدد شش و نیم بین چه اعدادی قرار دارد؟ گزینه ها: ا) شش و هفت ب) پنج و شش,ا,ب,ب,ب,ب) پنج و شش,ب) پنج و شش,ب) پنج و شش,ب,ب,ب,ب,ب,ب
