solution,bot_solution,evaluation
6957,1425,{'accuracy': 0.0}
7 مهر,8 مهر,{'accuracy': 0.0}
5 سال,6,{'accuracy': 0.0}
190,93,{'accuracy': 0.0}
183,261,{'accuracy': 0.0}
500 تومان,1000,{'accuracy': 0.0}
12 نقطه,هیچکدام,{'accuracy': 0.0}
32 سیب,7,{'accuracy': 0.0}
7 مهره,6,{'accuracy': 0.0}
4,0.6,{'accuracy': 0.0}
14 نفر,6,{'accuracy': 0.0}
سال 1374,1353,{'accuracy': 0.0}
35 میلیمتر,63.5,{'accuracy': 0.0}
12 ساعت,1.44,{'accuracy': 0.0}
8 مثلث,۸,{'accuracy': 0.0}
1000,1000,{'accuracy': 1.0}
9:25,8:07,{'accuracy': 0.0}
10,10,{'accuracy': 1.0}
1,1,{'accuracy': 1.0}
63,63,{'accuracy': 1.0}
149.2,149.20,{'accuracy': 1.0}
4 مرتبه,6,{'accuracy': 0.0}
2.5 دقیقه,2.5,{'accuracy': 1.0}
43,43,{'accuracy': 1.0}
60 دانش آموز,60,{'accuracy': 1.0}
13,25,{'accuracy': 0.0}
16,16,{'accuracy': 1.0}
27,6,{'accuracy': 0.0}
55,55,{'accuracy': 1.0}
18,0,{'accuracy': 0.0}
16,16,{'accuracy': 1.0}
44,44,{'accuracy': 1.0}
25,125,{'accuracy': 0.0}
1,1,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
2,2,{'accuracy': 1.0}
1,1,{'accuracy': 1.0}
3,3,{'accuracy': 1.0}
4,-4,{'accuracy': 1.0}
9,9,{'accuracy': 1.0}
3,-3,{'accuracy': 1.0}
2,0,{'accuracy': 0.0}
5,5,{'accuracy': 1.0}
3,3,{'accuracy': 1.0}
3,4,{'accuracy': 0.0}
7,7,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
2,5,{'accuracy': 0.0}
2,7,{'accuracy': 0.0}
8,8,{'accuracy': 1.0}
1,8,{'accuracy': 0.0}
1,8,{'accuracy': 0.0}
2,7,{'accuracy': 0.0}
9,9,{'accuracy': 1.0}
2 مثلث,4,{'accuracy': 0.0}
3 تا,تعداد هرم های قابل ساخت درون استخر برابر است با 1 + 2 + 3 + ... + 12 = 78,{'accuracy': 0.0}
4 واحد,,{'accuracy': 0.0}
36 کاغذ,8,{'accuracy': 0.0}
2,7/2,{'accuracy': 0.0}
6,1,{'accuracy': 0.0}
14,16,{'accuracy': 0.0}
7,0 تا 12,{'accuracy': 0.0}
13/18,9/10,{'accuracy': 0.0}
28,17,{'accuracy': 0.0}
4,5,{'accuracy': 0.0}
5,هیچ عددی,{'accuracy': 0.0}
15,23,{'accuracy': 0.0}
68,68,{'accuracy': 1.0}
8,8,{'accuracy': 1.0}
32,-32,{'accuracy': 1.0}
0.38,0.36,{'accuracy': 0.0}
333,111,{'accuracy': 0.0}
4:30,4:30 بعد از ظهر,{'accuracy': 1.0}
20%,20,{'accuracy': 1.0}
7,7,{'accuracy': 1.0}
4,270,{'accuracy': 0.0}
23,232792560,{'accuracy': 0.0}
5999,100,{'accuracy': 0.0}
6,2,{'accuracy': 0.0}
0.5,0.3,{'accuracy': 0.0}
10 درصد,10%,{'accuracy': 1.0}
13 اینچ مربع,23,{'accuracy': 0.0}
3,60,{'accuracy': 0.0}
36,36,{'accuracy': 1.0}
6,6,{'accuracy': 1.0}
42,42,{'accuracy': 1.0}
4,۲,{'accuracy': 0.0}
564,564,{'accuracy': 1.0}
162,90,{'accuracy': 0.0}
66,55,{'accuracy': 0.0}
6,6,{'accuracy': 1.0}
5040,5040,{'accuracy': 1.0}
5,5,{'accuracy': 1.0}
8,14,{'accuracy': 0.0}
10,10,{'accuracy': 1.0}
4005,2003,{'accuracy': 0.0}
1023,1023,{'accuracy': 1.0}
10,3,{'accuracy': 0.0}
400,400,{'accuracy': 1.0}
123,0,{'accuracy': 0.0}
0.17,0.17,{'accuracy': 1.0}
350,ششمین عضو برابر است با 300,{'accuracy': 0.0}
600,60480,{'accuracy': 0.0}
8,8,{'accuracy': 1.0}
8,پاسخی ندارد,{'accuracy': 0.0}
2,2,{'accuracy': 1.0}
1,√(x1 * x2 * ... * xn),{'accuracy': 0.0}
30,نمی‌توان مقدار دقیق f(12) - f(2) را محاسبه کرد.,{'accuracy': 0.0}
18,6,{'accuracy': 0.0}
54,54,{'accuracy': 1.0}
24,8,{'accuracy': 0.0}
36,12.25,{'accuracy': 0.0}
6,6,{'accuracy': 1.0}
100,100,{'accuracy': 1.0}
0.54,0.09,{'accuracy': 0.0}
21,21,{'accuracy': 1.0}
70,110,{'accuracy': 0.0}
144,144,{'accuracy': 1.0}
3,3,{'accuracy': 1.0}
126,27,{'accuracy': 0.0}
3,3,{'accuracy': 1.0}
8000,8000,{'accuracy': 1.0}
8918,3^6 - 343,{'accuracy': 0.0}
3600,3600,{'accuracy': 1.0}
4,4,{'accuracy': 1.0}
140,140,{'accuracy': 1.0}
3,2.73,{'accuracy': 0.0}
120,60,{'accuracy': 0.0}
15,15,{'accuracy': 1.0}
31,32,{'accuracy': 0.0}
3,2,{'accuracy': 0.0}
40,35,{'accuracy': 0.0}
12,12,{'accuracy': 1.0}
28,25.98,{'accuracy': 0.0}
864000,"17,576,000",{'accuracy': 0.0}
1/4,6,{'accuracy': 0.0}
12,48,{'accuracy': 0.0}
380,100,{'accuracy': 0.0}
7,8,{'accuracy': 0.0}
14400,1,{'accuracy': 0.0}
1000000,1000000,{'accuracy': 1.0}
70,1,{'accuracy': 0.0}
31,31,{'accuracy': 1.0}
120,360,{'accuracy': 0.0}
5,64,{'accuracy': 0.0}
5,24,{'accuracy': 0.0}
17/18,20/36,{'accuracy': 0.0}
1/20,1/4,{'accuracy': 0.0}
0.5,0.5,{'accuracy': 1.0}
11/36,11/36,{'accuracy': 1.0}
37/819,0.0439,{'accuracy': 0.0}
243,243,{'accuracy': 1.0}
28,28,{'accuracy': 1.0}
45,5,{'accuracy': 0.0}
1963,1004,{'accuracy': 0.0}
6720,"40,320",{'accuracy': 0.0}
6,,{'accuracy': 0.0}
3,عدد صحیح دقیق درونه‌ی مربعی در بازه 200 تا 300: 232,{'accuracy': 0.0}
110,10,{'accuracy': 0.0}
48,80,{'accuracy': 0.0}
1,25/48,{'accuracy': 0.0}
243,243,{'accuracy': 1.0}
36,15,{'accuracy': 0.0}
4,3,{'accuracy': 0.0}
1/4,1/2,{'accuracy': 0.0}
1275,16,{'accuracy': 0.0}
8.5,9,{'accuracy': 0.0}
11/850,0.013,{'accuracy': 0.0}
280,70,{'accuracy': 0.0}
12/25,0.625,{'accuracy': 0.0}
58500,67600,{'accuracy': 0.0}
1,6,{'accuracy': 0.0}
16,16,{'accuracy': 1.0}
12,12,{'accuracy': 1.0}
7,تعداد اولیه Penteria ها برابر است با 17,{'accuracy': 0.0}
5,5,{'accuracy': 1.0}
18,18,{'accuracy': 1.0}
